,beer_id,name,style,abv,brewery_id
0,0,Pub Beer,American Pale Lager,0.05,408
1,1,Devil's Cup,American Pale Ale (APA),0.066,177
2,2,Rise of the Phoenix,American IPA,0.071,177
3,3,Sinister,American Double / Imperial IPA,0.09,177
4,4,Sex and Candy,American IPA,0.075,177
5,5,Black Exodus,Oatmeal Stout,0.077,177
6,6,Lake Street Express,American Pale Ale (APA),0.045,177
7,7,Foreman,American Porter,0.065,177
8,8,Jade,American Pale Ale (APA),0.055,177
9,9,Cone Crusher,American Double / Imperial IPA,0.086,177
10,10,Sophomoric Saison,Saison / Farmhouse Ale,0.07200000000000001,177
11,11,Regional Ring Of Fire,Saison / Farmhouse Ale,0.073,177
12,12,Garce Selé,Saison / Farmhouse Ale,0.069,177
13,13,Troll Destroyer,Belgian IPA,0.085,177
14,14,Bitter Bitch,American Pale Ale (APA),0.061,177
15,15,Ginja Ninja,Cider,0.06,154
16,16,Cherried Away,Cider,0.06,154
17,17,Rhubarbarian,Cider,0.06,154
18,18,BrightCider,Cider,0.06,154
19,19,He Said Baltic-Style Porter,Baltic Porter,0.08199999999999999,368
20,20,He Said Belgian-Style Tripel,Tripel,0.08199999999999999,368
21,21,Lower De Boom,American Barleywine,0.099,368
22,22,Fireside Chat,Winter Warmer,0.079,368
23,23,Marooned On Hog Island,American Stout,0.079,368
24,24,Bitter American,American Pale Ale (APA),0.044,368
25,25,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049,368
26,26,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049,368
27,27,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,0.049,368
28,28,21st Amendment IPA (2006),American IPA,0.07,368
29,29,Brew Free! or Die IPA (2008),American IPA,0.07,368
30,30,Brew Free! or Die IPA (2009),American IPA,0.07,368
31,31,Special Edition: Allies Win The War!,English Strong Ale,0.085,368
32,32,Hop Crisis,American Double / Imperial IPA,0.097,368
33,33,Bitter American (2011),American Pale Ale (APA),0.044,368
34,34,Fireside Chat (2010),Winter Warmer,0.079,368
35,35,Back in Black,American Black Ale,0.068,368
36,36,Monk's Blood,Belgian Dark Ale,0.083,368
37,37,Brew Free! or Die IPA,American IPA,0.07,368
38,38,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,0.049,368
39,39,Bimini Twist,American IPA,0.07,67
40,40,Beach Blonde,American Blonde Ale,0.05,67
41,41,Rod Bender Red,American Amber / Red Ale,0.059,67
42,42,Passion Fruit Prussia,Berliner Weissbier,0.035,60
43,43,Send Help,American Blonde Ale,0.045,60
44,44,Cast Iron Oatmeal Brown,American Brown Ale,0.055,60
45,45,Reprise Centennial Red,American Amber / Red Ale,0.06,60
46,46,Alter Ego,American Black Ale,0.055,60
47,47,Divided Sky,American IPA,0.065,60
48,48,Resurrected,American IPA,0.065,60
49,49,Contact High,American Pale Wheat Ale,0.05,60
50,50,Galaxyfest,American IPA,0.065,27
51,51,Citrafest,American IPA,0.05,27
52,52,Barn Yeti,Belgian Strong Dark Ale,0.09,27
53,53,Scarecrow,American IPA,0.069,27
54,54,Ironman,English Strong Ale,0.09,27
55,55,Honey Kolsch,Kölsch,0.046,27
