,brewery_id,name,city,state,beer_count,rating
428,428,Schlafly Brewing Company,Saint Louis, MO,6,4.4
429,429,Asher Brewing Company,Boulder, CO,1,4.4
430,430,Lost Rhino Brewing Company,Ashburn, VA,2,4.4
431,431,North Country Brewing Company,Slippery Rock, PA,4,4.6
432,432,Seabright Brewery,Santa Cruz, CA,1,4.2
433,433,French Broad Brewery,Asheville, NC,3,4.1
434,434,Angry Orchard Cider Company,Cincinnati, OH,3,NaN
435,435,Two Roads Brewing Company,Stratford, CT,5,4.6
436,436,Southern Oregon Brewing Company,Medford, OR,2,4.4
437,437,Brooklyn Brewery,Brooklyn, NY,6,4.4
438,438,The Right Brain Brewery,Traverse City, MI,3,4.5
439,439,Kona Brewing Company,Kona, HI,4,4.5
440,440,MillKing It Productions,Royal Oak, MI,3,NaN
441,441,Pateros Creek Brewing Company,Fort Collins, CO,5,4.1
442,442,O'Fallon Brewery,O'Fallon, MO,3,4.2
443,443,Marble Brewery,Albuquerque, NM,2,4.4
444,444,Big Wood Brewery,Vadnais Heights, MN,5,4.5
445,445,Howard Brewing Company,Lenoir, NC,2,4.9
446,446,Downeast Cider House,Leominster, MA,2,4.8
447,447,Swamp Head Brewery,Gainesville, FL,5,4.8
448,448,Mavericks Beer Company,Half Moon Bay, CA,3,4.3
449,449,TailGate Beer,San Diego, CA,8,4.2
450,450,Northwest Brewing Company,Pacific, WA,2,3.9
451,451,Dad & Dude's Breweria,Aurora, CO,2,4.2
452,452,Centennial Beer Company,Edwards, CO,2,4.2
453,453,Denali Brewing Company,Talkeetna, AK,4,4.8
454,454,Deschutes Brewery,Bend, OR,1,4.7
455,455,Sunken City Brewing Company,Hardy, VA,2,NaN
456,456,Lucette Brewing Company,Menominie, WI,3,4.4
457,457,The Black Tooth Brewing Company,Sheridan, WY,4,4.7
458,458,Kenai River Brewing Company,Soldotna, AK,4,4.6
459,459,River North Brewery,Denver, CO,2,5
460,460,Fremont Brewing Company,Seattle, WA,7,4.7
461,461,Armstrong Brewing Company,South San Francisco, CA,1,4.5
462,462,AC Golden Brewing Company,Golden, CO,2,NaN
463,463,Big Bend Brewing Company,Alpine, TX,5,4.5
464,464,Good Life Brewing Company,Bend, OR,2,4.5
465,465,Engine 15 Brewing,Jacksonville Beach, FL,1,4.6
466,466,Green Room Brewing,Jacksonville, FL,1,4.6
467,467,Brindle Dog Brewing Company,Tampa Bay, FL,2,NaN
468,468,Peace Tree Brewing Company,Knoxville, IA,1,4.6
469,469,Terrapin Brewing Company,Athens, GA,1,4.6
470,470,Pete's Brewing Company,San Antonio, TX,7,4.7
471,471,Okoboji Brewing Company,Spirit Lake, IA,6,4.6
472,472,Crystal Springs Brewing Company,Boulder, CO,2,4.7
473,473,Engine House 9,Tacoma, WA,1,4.4
474,474,Tonka Beer Company,Minnetonka, MN,2,4.5
475,475,Red Hare Brewing Company,Marietta, GA,3,4.6
476,476,Hangar 24 Craft Brewery,Redlands, CA,2,4.6
477,477,Big Elm Brewing,Sheffield, MA,3,4.6
478,478,Good People Brewing Company,Birmingham, AL,5,4.7
479,479,Heavy Seas Beer,Halethorpe, MD,3,4.7
480,480,Telluride Brewing Company,Telluride, CO,3,4.7
481,481,7 Seas Brewing Company,Gig Harbor, WA,4,4.6
482,482,Confluence Brewing Company,Des Moines, IA,3,4.8
483,483,Bale Breaker Brewing Company,Yakima, WA,2,4.8
484,484,The Manhattan Brewing Company,New York, NY,1,4.3
485,485,MacTarnahans Brewing Company,Portland, OR,2,NaN
486,486,Stillmank Beer Company,Green Bay, WI,1,4.8
487,487,Redhook Brewery,Woodinville, WA,3,4.3
488,488,Dock Street Brewery,Philadelphia, PA,1,4.3
489,489,Blue Point Brewing Company,Patchogue, NY,4,4.4
490,490,Tampa Bay Brewing Company,Tampa, FL,2,4.5
491,491,Devil's Canyon Brewery,Belmont, CA,4,4.5
492,492,Stone Coast Brewing Company,Portland, ME,1,NaN
493,493,Broken Tooth Brewing Company,Anchorage, AK,4,4.6
494,494,Seven Brides Brewery,Silverton, OR,2,4.2
495,495,Newburyport Brewing Company,Newburyport, MA,3,4.4
496,496,Dry Dock Brewing Company,Aurora, CO,4,4.6
497,497,Cans Bar and Canteen,Charlotte, NC,4,4.5
498,498,Sprecher Brewing Company,Glendale, WI,2,4.6
499,499,Wildwood Brewing Company,Stevensville, MT,3,4.8
500,500,High Noon Saloon And Brewery,Leavenworth, KS,3,4.6
501,501,Woodchuck Hard Cider,Middlebury, VT,1,NaN
502,502,Sea Dog Brewing Company,Portland, ME,1,4.2
503,503,Oskar Blues Brewery,Lyons, CO,13,4.6
504,504,Carolina Beer & Beverage,Mooresville, NC,3,3.2
505,505,Krebs Brewing Company (Pete's Pl...,Krebs, OK,1,4.2
